epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3546.04,0.6053,0.46832,1.14178,0.99363,1,0.995,0.90792,0.36951,0.43224,1.0666,0.0011684,0.0011684,0.0011684
44,3624.07,0.69214,0.52341,1.16247,0.99099,1,0.995,0.90964,0.37589,0.48658,1.02969,0.0011486,0.0011486,0.0011486
45,3690.85,0.64964,0.48964,1.16378,0.99288,1,0.995,0.9454,0.36922,0.35306,1.02974,0.0011288,0.0011288,0.0011288
46,3749.93,0.64777,0.46622,1.13567,0.99252,1,0.995,0.96379,0.32486,0.36297,1.00952,0.001109,0.001109,0.001109
47,3809.24,0.57093,0.43345,1.09828,0.99395,1,0.995,0.90734,0.4187,0.34815,1.04984,0.0010892,0.0010892,0.0010892
48,3867.23,0.66672,0.47141,1.17899,0.99517,1,0.995,0.92716,0.37219,0.32897,1.02983,0.0010694,0.0010694,0.0010694
49,3924.97,0.66781,0.48521,1.16589,0.99536,1,0.995,0.90219,0.46119,0.39839,1.13027,0.0010496,0.0010496,0.0010496
50,3982.53,0.58232,0.43646,1.11541,0.99545,1,0.995,0.90062,0.46891,0.42537,1.20367,0.0010298,0.0010298,0.0010298
51,4040.09,0.65024,0.49753,1.17455,0.99537,1,0.995,0.94275,0.409,0.38698,1.12255,0.00101,0.00101,0.00101
52,4097.68,0.61817,0.4485,1.16894,0.99283,1,0.995,0.86935,0.51877,0.50422,1.23427,0.0009902,0.0009902,0.0009902
53,4166.72,0.56837,0.41425,1.09786,0.91108,1,0.9875,0.90542,0.43274,0.56787,1.05602,0.0009704,0.0009704,0.0009704
54,4248.05,0.61449,0.45082,1.13071,0.90882,0.90909,0.91978,0.85687,0.4728,0.62638,1.12734,0.0009506,0.0009506,0.0009506
55,4329.71,0.61357,0.45096,1.16359,0.94766,0.90909,0.93329,0.8418,0.39341,0.49344,1.03343,0.0009308,0.0009308,0.0009308
56,4411.26,0.60076,0.45387,1.15471,0.96595,0.90909,0.98115,0.88336,0.32454,0.40118,1.00372,0.000911,0.000911,0.000911
57,4492.77,0.57023,0.44659,1.11342,0.99547,1,0.995,0.97082,0.24707,0.27689,0.95383,0.0008912,0.0008912,0.0008912
58,4574.42,0.56214,0.43514,1.12499,0.9955,1,0.995,0.9841,0.22149,0.23472,0.93426,0.0008714,0.0008714,0.0008714
59,4656.42,0.54879,0.39705,1.10284,0.99555,1,0.995,0.995,0.19888,0.24015,0.92996,0.0008516,0.0008516,0.0008516
60,4737.81,0.49976,0.37657,1.07001,0.99533,1,0.995,0.995,0.18854,0.25632,0.9231,0.0008318,0.0008318,0.0008318
61,4819.04,0.56699,0.41716,1.10296,0.99352,1,0.995,0.96923,0.31137,0.27252,0.95938,0.000812,0.000812,0.000812
62,4900.47,0.58723,0.41168,1.13512,0.9948,1,0.995,0.95471,0.32061,0.29775,0.95418,0.0007922,0.0007922,0.0007922
63,4982.35,0.55816,0.42271,1.08835,0.99037,1,0.995,0.995,0.22357,0.25596,0.93417,0.0007724,0.0007724,0.0007724
64,5064.02,0.52771,0.37787,1.08758,0.98891,1,0.995,0.995,0.23516,0.28301,0.94015,0.0007526,0.0007526,0.0007526
65,5145.61,0.55806,0.3976,1.13626,0.9907,1,0.995,0.995,0.19123,0.26741,0.9249,0.0007328,0.0007328,0.0007328
66,5226.79,0.53888,0.38384,1.09791,0.99496,1,0.995,0.995,0.26483,0.28408,0.95584,0.000713,0.000713,0.000713
67,5308.3,0.51351,0.3666,1.03985,0.9952,1,0.995,0.98586,0.23048,0.25904,0.94358,0.0006932,0.0006932,0.0006932
68,5390.6,0.56081,0.38996,1.11084,0.99534,1,0.995,0.995,0.25434,0.26792,0.95607,0.0006734,0.0006734,0.0006734
69,5472.71,0.53491,0.35827,1.06362,0.99547,1,0.995,0.995,0.24298,0.23681,0.94265,0.0006536,0.0006536,0.0006536
70,5554.31,0.50945,0.38185,1.07052,0.99541,1,0.995,0.995,0.23046,0.23695,0.93856,0.0006338,0.0006338,0.0006338
71,5636.18,0.53824,0.40794,1.09328,0.99513,1,0.995,0.995,0.22964,0.2419,0.93929,0.000614,0.000614,0.000614
72,5718.52,0.4904,0.36111,1.08957,0.99532,1,0.995,0.995,0.21032,0.21974,0.93023,0.0005942,0.0005942,0.0005942
73,5800.27,0.50018,0.35695,1.0685,0.99541,1,0.995,0.9562,0.28237,0.24306,0.9593,0.0005744,0.0005744,0.0005744
74,5881.22,0.48589,0.34178,1.06781,0.99541,1,0.995,0.95185,0.2721,0.24214,0.95502,0.0005546,0.0005546,0.0005546
75,5963.01,0.5047,0.3643,1.09751,0.99542,1,0.995,0.995,0.18268,0.19532,0.91293,0.0005348,0.0005348,0.0005348
76,6044.51,0.51115,0.34473,1.06511,0.99515,1,0.995,0.995,0.17499,0.17171,0.91115,0.000515,0.000515,0.000515
77,6126.09,0.48848,0.34411,1.0576,0.99394,1,0.995,0.995,0.15937,0.19988,0.90195,0.0004952,0.0004952,0.0004952
78,6207.49,0.48997,0.34289,1.06626,0.99395,1,0.995,0.995,0.18725,0.20149,0.9111,0.0004754,0.0004754,0.0004754
79,6289.29,0.4692,0.33239,1.04049,0.9953,1,0.995,0.995,0.18666,0.18845,0.91543,0.0004556,0.0004556,0.0004556
